FAT; DFW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1232.9; EUR; 70; 70; 75; 46.95; 4.70; B; B1; B1; NOP;
FAT; DFW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 147.9; EUR; 25; 15; 10; 61.04; 7.30; L; L1; L1; NOP;
FAT; DFW; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 246.6; EUR; 25; 15; 10; 26.16; 4.78; L; L1; L1; NOP;
FAT; MSP; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1390.0; EUR; 70; 70; 75; 46.95; 4.70; B; B1; B1; NOP;
FAT; MSP; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 166.8; EUR; 25; 15; 10; 61.04; 7.30; L; L1; L1; NOP;
FAT; MSP; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 278.0; EUR; 25; 15; 10; 26.16; 4.78; L; L1; L1; NOP;
FAT; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1705.6; EUR; 70; 70; 75; 6.74; 0.67; B; B1; B1; NOP;
FAT; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 204.7; EUR; 25; 15; 10; 8.76; 1.05; L; L1; L1; NOP;
FAT; TPA; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 341.1; EUR; 25; 15; 10; 3.76; 0.69; L; L1; L1; NOP;
FAT; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1548.5; EUR; 70; 70; 75; 7.21; 0.72; B; B1; B1; NOP;
FAT; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 185.8; EUR; 25; 15; 10; 9.37; 1.12; L; L1; L1; NOP;
FAT; STL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 309.7; EUR; 25; 15; 10; 4.01; 0.73; L; L1; L1; NOP;
FAT; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1704.0; EUR; 70; 70; 75; 7.38; 0.74; B; B1; B1; NOP;
FAT; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 204.5; EUR; 25; 15; 10; 9.60; 1.15; L; L1; L1; NOP;
FAT; ORF; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 340.8; EUR; 25; 15; 10; 4.11; 0.75; L; L1; L1; NOP;
FAT; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1343.1; EUR; 70; 70; 75; 7.00; 0.70; B; B1; B1; NOP;
FAT; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 161.2; EUR; 25; 15; 10; 9.09; 1.09; L; L1; L1; NOP;
FAT; CVG; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 268.6; EUR; 25; 15; 10; 3.90; 0.71; L; L1; L1; NOP;
FAT; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1532.8; EUR; 70; 70; 75; 5.30; 0.53; B; B1; B1; NOP;
FAT; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 183.9; EUR; 25; 15; 10; 6.89; 0.82; L; L1; L1; NOP;
FAT; MSY; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 306.6; EUR; 25; 15; 10; 2.95; 0.54; L; L1; L1; NOP;
FAT; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1608.0; EUR; 70; 70; 75; 5.71; 0.57; B; B1; B1; NOP;
FAT; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 193.0; EUR; 25; 15; 10; 7.43; 0.89; L; L1; L1; NOP;
FAT; ATL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 321.6; EUR; 25; 15; 10; 3.18; 0.58; L; L1; L1; NOP;
FAT; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1733.1; EUR; 70; 70; 75; 8.72; 0.87; B; B1; B1; NOP;
FAT; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 208.0; EUR; 25; 15; 10; 11.33; 1.35; L; L1; L1; NOP;
FAT; PHL; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 346.6; EUR; 25; 15; 10; 4.86; 0.89; L; L1; L1; NOP;
FAT; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1787.5; EUR; 70; 70; 75; 7.61; 0.76; B; B1; B1; NOP;
FAT; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 214.5; EUR; 25; 15; 10; 9.88; 1.18; L; L1; L1; NOP;
FAT; PIT; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 357.5; EUR; 25; 15; 10; 4.24; 0.77; L; L1; L1; NOP;
FAT; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1764.5; EUR; 70; 70; 75; 8.41; 0.84; B; B1; B1; NOP;
FAT; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 211.7; EUR; 25; 15; 10; 10.93; 1.31; L; L1; L1; NOP;
FAT; IAD; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 352.9; EUR; 25; 15; 10; 4.69; 0.86; L; L1; L1; NOP;
FAT; CMI; 2009-01-01; 2009-06-30; 1000000; 00:00; 23:59; 1444.4; EUR; 70; 70; 75; 7.77; 0.78; B; B1; B1; NOP;
